word, answers over 6, word value(idk), percent, avarage guesses
paged,340,43.58318781852722,0.9409414625673094,4.54438075386486
larch,340,53.944788694381714,0.9409414625673094,4.501129060274448
phlox,340,59.488380908966064,0.9409414625673094,4.601702275490707
modal,340,57.35655999183655,0.9409414625673094,4.485669619593538
tuple,340,53.53954029083252,0.9409414625673094,4.487406635400382
bodge,340,57.13259410858154,0.9409414625673094,4.538648601702276
monad,340,53.760313272476196,0.9409414625673094,4.4573562619419835
thrum,340,51.94706463813782,0.9409414625673094,4.57529963522668
lemon,341,68.09231328964233,0.940767760986625,4.479242661108216
cheap,341,85.55069851875305,0.940767760986625,4.579121070001737
leapt,341,54.91398787498474,0.940767760986625,4.429564009032482
drape,341,55.27673554420471,0.940767760986625,4.469689074170575
amble,341,72.39040637016296,0.940767760986625,4.582247698454056
taped,341,44.39903712272644,0.940767760986625,4.469515372589891
pylon,341,52.838414907455444,0.940767760986625,4.51902032308494
lumpy,341,55.28994631767273,0.940767760986625,4.591280180649644
barmy,341,48.21761679649353,0.940767760986625,4.5620983150946675
comer,341,46.69427752494812,0.940767760986625,4.491054368594754
gimps,341,40.29157733917236,0.940767760986625,4.541775230154594
imbed,341,57.857624769210815,0.940767760986625,4.587632447455272
poler,341,44.51757335662842,0.940767760986625,4.4391175959701235
morel,341,39.83924913406372,0.940767760986625,4.465172833072781
rimed,341,43.36016654968262,0.940767760986625,4.463783220427306
logic,342,53.88131833076477,0.9405940594059405,4.522494354698628
spend,342,64.61755776405334,0.9405940594059405,4.499565746048289
claps,342,42.017817974090576,0.9405940594059405,4.4453708528747615
fling,342,53.75046467781067,0.9405940594059405,4.544901858606913
broil,342,53.1426146030426,0.9405940594059405,4.464130623588675
melon,342,60.42734479904175,0.9405940594059405,4.465520236234149
gnome,342,70.64782190322876,0.9405940594059405,4.529268716345319
famed,342,47.05171799659729,0.9405940594059405,4.543338544380754
bilge,342,55.200567960739136,0.9405940594059405,4.5480284870592325
boned,342,43.068532943725586,0.9405940594059405,4.453882230328296
aping,342,62.9364492893219,0.9405940594059405,4.518325516762203
carpy,342,43.07120394706726,0.9405940594059405,4.505819002952927
bench,343,62.206488847732544,0.9404203578252562,4.549070696543339
flint,343,47.95591592788696,0.9404203578252562,4.456314052457877
midst,343,64.83523559570312,0.9404203578252562,4.4768108389786345
macro,343,51.08368706703186,0.9404203578252562,4.496612819176654
filth,343,49.51538562774658,0.9404203578252562,4.494875803369811
chide,343,60.08650779724121,0.9404203578252562,4.536737884314747
lamed,343,49.52370643615723,0.9404203578252562,4.503387180823346
chink,343,54.27191638946533,0.9404203578252562,4.544554455445544
dicot,343,48.00036907196045,0.9404203578252562,4.434948758033698
pubic,343,54.956947565078735,0.9404203578252562,4.607087024491923
bider,343,45.30862331390381,0.9404203578252562,4.49365989230502
grind,344,51.039700746536255,0.9402466562445718,4.4519715129407675
flame,344,66.25998401641846,0.9402466562445718,4.5351745700885875
brand,344,48.26644206047058,0.9402466562445718,4.462914712523884
bring,344,51.807230949401855,0.9402466562445718,4.502692374500608
cabin,344,52.85696816444397,0.9402466562445718,4.48653812749696
bowed,344,49.34742712974548,0.9402466562445718,4.558971686642349
grime,344,65.7851357460022,0.9402466562445718,4.508598228243877
dogma,344,58.9142427444458,0.9402466562445718,4.565572346708355
spiel,344,44.50844383239746,0.9402466562445718,4.455966649296508
nicad,344,52.40544080734253,0.9402466562445718,4.45839847142609
admit,345,60.704673767089844,0.9400729546638874,4.486885530658329
brick,345,56.89869999885559,0.9400729546638874,4.55428174396387
lunch,345,50.713550090789795,0.9400729546638874,4.546986277575126
scale,345,56.615516901016235,0.9400729546638874,4.432864339065485
polka,345,56.299713373184204,0.9400729546638874,4.529616119506687
sperm,345,73.34491467475891,0.9400729546638874,4.5608824040298765
scarp,345,61.39255499839783,0.9400729546638874,4.493312489143651
chard,345,51.14469623565674,0.9400729546638874,4.511377453534827
podia,345,57.94703698158264,0.9400729546638874,4.494007295466389
ambit,345,68.51918172836304,0.9400729546638874,4.543338544380754
limbs,346,42.25221920013428,0.9398992530832031,4.534827166927219
slice,346,61.858863830566406,0.9398992530832031,4.447107868681605
piano,346,49.469022274017334,0.9398992530832031,4.415841584158416
pedal,346,66.83663129806519,0.9398992530832031,4.517283307278096
bloke,346,66.40399503707886,0.9398992530832031,4.536216779572694
romps,346,37.87941074371338,0.9398992530832031,4.497655028660761
macer,346,45.85643982887268,0.9398992530832031,4.480632273753691
epsom,346,110.37820959091187,0.9398992530832031,4.594927913844016
prims,346,40.58236479759216,0.9398992530832031,4.470904985235365
ponds,347,38.14794921875,0.9397255515025187,4.45683515719993
slope,347,63.96953845024109,0.9397255515025187,4.462046204620462
